Ticker,Público Alvo,Tipo de Fii,Administrador,Último Rend. (R$),Último Rend. (%),Data Pagamento,Data Base,Rend. Méd. 12m (R$),Rend. Méd. 12m (%),Patrimônio/Cota,Cotação/VP,N° negócios/mês,Partic. IFIX,Número Cotistas,Patrimônio,Cota base
MXRF11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,11","1,04",15/01/2024,28/12/2023,"0,12","1,09","9,86","1,08",739,"2,72",1.022.791,"2.851.649.176,71","10,57"
MYDW11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N4V111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NAVT11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"1,79","1,94",19/01/2024,12/01/2024,"1,07","1,16","95,05","0,96",4,N/A,2.031,"57.705.336,54","92,30"
NCHB11,Investidores em Geral,Papel:Papéis,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,80","0,95",15/01/2024,08/01/2024,"0,95","1,13","90,69","0,10",10,"0,11",10.745,"153.510.646,04","83,89"
NCRA11,Investidores em Geral,Fiagro:Fiagro,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,"0,10","0,91",24/01/2024,17/01/2024,"0,13","1,27","10,54","0,98",16,N/A,9.908,"46.994.292,42","10,56"
NCRI11,Investidores em Geral,Sem categoria:,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,"0,10","1,08",15/01/2024,05/01/2024,"0,09","1,00","10,25","0,89",753,N/A,718,"40.613.158,32","9,29"
NEWL11,Investidores em Geral,Tijolo:Imóveis Industriais e Logísticos,PLURAL S.A. BANCO MÚLTIPLO,"1,30","1,14",15/01/2024,28/12/2023,"1,01","0,88","137,14","0,90",2,N/A,3.921,"279.317.363,79","114,38"
NEWU11,Investidores em Geral,Tijolo:Lajes Corporativas,PLURAL S.A. BANCO MÚLTIPLO,"0,60","0,76",15/01/2024,28/12/2023,"0,20","0,25","70,03","1,09",139,N/A,1.414,"51.775.697,03","79,00"
NEXG11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
